id,href_raw,text_raw,section_hint,order_index
6e7dc0b9-0b73-447c-8751-2bcef5f95979,https://codepen.io/awoodall/full/XbpMbo,Email Subject Test,Content & Metadata,0
a672f4bc-89bc-4823-b747-4b5120ce34dd,https://hemingwayapp.com/,Hemingway Editor,Content & Metadata,1
6c9f19a9-5339-4a52-ba28-7a8e28941fb4,https://instatext.io/editor/,InstaText | Write like a native speaker,Content & Metadata,2
b37eb01c-5616-414e-a38d-de4a93998d17,https://languagetool.org/,"LanguageTool - Online Grammar, Style & Spell Checker",Content & Metadata,3
6eecfa84-8687-4d8a-a3e3-fbbbf1b87dde,https://www.random.org/,Random,Content & Metadata,4
e7fed9ba-d657-4fff-ad97-7be19534abf5,https://www.randomlists.com/,Random Lists,Content & Metadata,5
dda9b22a-5e6a-44bd-af79-4114b31539d5,https://www.rhymezone.com/,RhymeZone,Content & Metadata,6
48933cf4-f00e-4a9d-b334-4ef2d385839e,https://www.sudowrite.com/app,Sudowrite,Content & Metadata,7
61c78455-0149-4719-8e50-ce36539c3279,https://www.thesaurus.com/,Thesaurus,Content & Metadata,8
215f15de-b89f-4f0b-9865-43d975fe25fd,https://analytics.amplitude.com/morressier/workspace,Amplitude,Content & Metadata,9
8e851a1d-3da8-46b4-8627-6230bf4ccee0,https://analytics.google.com/analytics/web/#/my-reports/EGq30SmVSv-LL_oe-C8-Ww/a100748317w176012425p174935628/_r.tabId=729,Analytics,Content & Metadata,10
8a135bb9-bc28-4bd2-860a-72d0d03da7c9,https://apify.com/,Apify: Web Scraping and Data Extraction platform,Content & Metadata,11
bdad399f-7b4a-4437-88a5-4f2903733bbd,https://datawrapper.de/,Datawrapper,Content & Metadata,12
cf1a112f-8106-4419-9e5c-219aeb17d98a,http://dimplejs.org/,Dimple JS,Content & Metadata,13
0ab94afb-cbb6-420d-a5b6-79f22f3852aa,https://gephi.github.io/,Gephi | Open Graph Viz Platform,Content & Metadata,14
d47adbfc-bfac-480f-be88-903c53889f92,https://www.jsoneditoronline.org/,JSON Editor,Content & Metadata,15
e3bd3ebf-e69f-46bc-a9ae-a9bf8d166408,https://jsonformatter.curiousconcept.com/,JSON Formatter & Validator,Content & Metadata,16
8822bc55-b68f-4221-a29f-92270d42cfa6,http://www.cleancss.com/json-minify/,JSON Minify and Compress,Content & Metadata,17
3aa603e1-4791-4248-88bd-986090db419f,http://konklone.io/json/,JSON to CSV,Content & Metadata,18
8be69417-984c-4fd6-afc5-1566eb51f282,http://guidetodatamining.com/ngramAnalyzer/,Ngram Analyzer,Content & Metadata,19
68e1920a-c95b-4a4a-b407-3efa42e553dc,https://chart-studio.plotly.com/create/#/,Online Graph Maker · Plotly Chart Studio,Content & Metadata,20
1739c28a-fc71-4442-b028-eb53de92d08b,http://app.rawgraphs.io/,RAW Graphs,Content & Metadata,21
074bb4df-b481-4ff8-91b0-99f12eb5b751,http://sankeymatic.com/build/,SankeyMATIC,Content & Metadata,22
93142a11-7a29-47d3-a910-061d524faad0,https://sorta.app/,Sorta - Rank stuff,Content & Metadata,23
